"videoNumber","title","sourceMarketplace","sourceUrl","matchStatus","matchReason","candidateCount","catalogProductId","catalogTitle","marketplace","similarity"
"2","Cortador De Unha Elétrico USB Aparador Adulto Crianças Clipper Automático","shopee","https://shopee.com.br/product/477428067/21065674994","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"3","mini modelo,De Aço Inoxidável Preto Pulverizador Conjunto Sanitário","shopee","https://shopee.com.br/product/971794612/16193823218","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"4","Deck de Madeira com Base Plástica (Madeira de Pinus)","shopee","https://shopee.com.br/product/405548515/23516200440","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"5","Robô Varredor 4 em 1 - Passa Pano  Aromatizador  Humidificador - Sua Casa SEmpre Limpa Sem Esforço","shopee","https://shopee.com.br/Robô-Varredor-4-em-1-Varre-Passa-Pano-Aromatizador-Humidificador-Sua-Casa-SEmpre-Limpa-Sem-Esforço-i.374719836.22795664207","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"7","Descascador De Olho Abacaxi Morango Juller Removedor Cortador De Aço Inoxidável Prático Semente Remover Clipe De Frutas Vegetais Cenoura Tomate Pinças","shopee","https://shopee.com.br/product/252072876/15866673744","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"8","Mini Teclado Portátil Dobrável Sem Fio Bluetooth Touchpad Para iPad Phone Tablet","shopee","https://shopee.com.br/product/567371549/11589018284","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"9","Folclórico Cola À Prova D_água Selante De Vazamento Agente De Reparo Adesivos Selador","shopee","https://shopee.com.br/Folclórico-Cola-À-Prova-D'água-Selante-De-Vazamento-Agente-De-Reparo-Adesivos-Selador-i.183971520.22409373542","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"10","Película De Superfície Quadrada Portátil DIY Espelho Adesivo De Parede LongaAutocolante Decoração De Casa De Banho PET Transparente No","shopee","https://shopee.com.br/product/191439250/8022808248","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"11","100_ tailândia natural látex colchão importado de borracha natural puro colchão 1.8m cama 1.5m engrossado casa dormitório almofada esteira","outro","https://pt.aliexpress.com/item/1005003881626151.html","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"12","Limpador Multifuncional De Espuma De Carro Spray De Limpeza Para Todos Os Fins De Interiores Do Banco Forte Remoção De Manchas 100ML","shopee","https://shopee.com.br/product/713886665/19040459975?","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"14","Escova Lava Louça Dispenser Recipiente porta detergente pratica limpeza pesada","shopee","https://shopee.com.br/product/393729004/14349830008","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"16","Anéis De Dedo De Aço Inoxidável Defesa Para Mulheres Ferramenta De Proteção Ajustável Hisses Pessoal2br","shopee","https://shopee.com.br/Anéis-De-Dedo-De-Aço-Inoxidável-Defesa-Para-Mulheres-Ferramenta-De-Proteção-Ajustável-Hisses-Pessoal2br-i.877879143.20759146124","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"17","Ombro Em Estoque 8 Pares Protetor De Salto Alto Tampas De Reparação De Calcanhar Cobre , Extra Pequeno , Médio , Grande , Preto","shopee","https://shopee.com.br/product/601748552/12261451725","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"18","Teak 2  10pcs Inferior Kit Caixa De Junção 86  118  120 Tipo De Montagem Da Parede Caixa De Reparo Pólo Cassete Reparação De Danos Escuro","shopee","https://shopee.com.br/product/242916878/13516061120","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"19","Resina 2004 Epoxi Transparente Com Endurecedor 3154 (150 g)","shopee","https://shopee.com.br/Resina-2004-Epoxi-Transparente-Com-Endurecedor-3154-(150-g)-i.504856591.20072097461","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"20","Molde de Para Picolé Frutas Forma Vara Tradicional Em Silicone Verão Picolé Fabricantes. MEGA OFERTA","shopee","https://shopee.com.br/Molde-de-Para-Picolé-Frutas-Forma-Vara-Tradicional-Em-Silicone-Verão-Picolé-Fabricantes.-MEGA-OFERTA-i.390383033.20325806384","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"21","Pingente De Renda De Metal Com PerfumeAcessórios Para Carros","shopee","https://shopee.com.br/product/523448451/21114201326","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"22","Único sofá preguiçoso para sala de estar, lazer reclinável cadeira de balanço, multi-funcional, luz luxo nuvem sofá","outro","https://pt.aliexpress.com/item/1005005208521013.html","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"23","Desentupidor Bomba de pressão Vertical MaxDreno AirJet","shopee","https://shopee.com.br/product/602089048/14407030728","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"24","DOREEN1 Home Melhoria Da Armadura De Aço Inoxidável Cadeado Cilíndrico De Disco","shopee","https://shopee.com.br/product/183962690/20498527913","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"26","[GrandLarge] Cola Para Calçados Adesiva À Prova D_água Universal Fortes BR","shopee","https://shopee.com.br/product/243235233/21176302021","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"27","(dmc) Conjunto Criativo De Vidro Resistente Ao Calor Para CopoCháLeite","shopee","https://shopee.com.br/product/653972653/21405417086","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"28","Xiaomi Mijia AR Impressora De Bolso 300dpi Mini Portátil Para Viagem Fotográfica Festa Câmera DIY Share 500mAh Imagem","shopee","https://shopee.com.br/product/778120018/21740611999","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"29","Suporte Para Geladeira Fogão E Máquina De Lavar Base Carrinho","shopee","https://shopee.com.br/Suporte-Para-Geladeira-Fogão-E-Máquina-De-Lavar-Base-Carrinho-i.406182835.22795515168","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"30","Semorin Tira ferrugem de Roupa Brancas e Coloridas","shopee","https://shopee.com.br/Semorin-Tira-ferrugem-de-Roupa-Brancas-e-Coloridas-i.418160445.15920103313","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"31","Vinil auto adesivo piso adesivos de parede de mármore à prova dwaterproof água filme decorativo banheiro cozinha sala estar decalques renovação chão","shopee","https://shopee.com.br/Vinil-auto-adesivo-piso-adesivos-de-parede-de-mármore-à-prova-dwaterproof-água-filme-decorativo-banheiro-cozinha-sala-estar-decalques-renovação-chão-i.455491218.13566802626","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"32","(Serra) Bacia Para Lavar Cabelos Com Mangueira","shopee","https://shopee.com.br/product/354163234/11633080835","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"33","Escovas de Aço Multiuso Kit 3 Pcs Aço Latão Nylon Cabo Plástico","shopee","https://shopee.com.br/Escovas-de-Aço-Multiuso-Kit-3-Pcs-Aço-Latão-Nylon-Cabo-Plástico-i.394786209.8065374301","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"34","Cadeira Mochila Pesca Camping - Bolsa Térmica - Escolha a Sua","shopee","https://shopee.com.br/product/309454464/14913414754","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"37","Rack de armazenamento para banheiro, Rack de armazenamento para banheiro, Rack de armazenamento, Caixa Organizadora, Instalação Livre, Luz, Luxo","outro","https://pt.aliexpress.com/item/1005005550834857.html","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"38","Teclado Sem Fio Dobrável Ultrafino Bluetooth Para Computador De Mesa De Celular De Liga De Alumínio Com Suporte Hoder Windows iPad PC Notebook Portátil","shopee","https://shopee.com.br/product/835523837/21142761697","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"39","Pilão com Socador em Inox Base Antideslizante Mimo Style","shopee","https://shopee.com.br/product/789785909/17680553113","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
"40","Batom Muda De Cor Com Flor Transparente De Longa Duração Na Temperatura HGF","shopee","https://shopee.com.br/product/582139676/21210315443","pesquisar_marketplaces","Nenhum produto equivalente com link afiliado confirmado foi encontrado no catalogo.","0","","","","0"
